Name of country	Country code as defined in ISO 3166	Domestic account number example	BBAN	BBAN structure 	BBAN length	Bank identifier position within the BBAN	Bank identifier length	Bank identifier example	BBAN example	IBAN	IBAN structure	IBAN length	IBAN electronic format example	IBAN print format example	SEPA Country	Contact details
Albania	AL	0000000235698741	0	8!n16!c	24	 Bank Identifier 1-3, Branch Identifier:4-7, Check Digit 8 	8!n	212-1100-9	212110090000000235698741	0	AL2!n8!n16!c	28	AL47212110090000000235698741	AL47 2121 1009 0000 0002 3569 8741	No	 Miho Valer , Deputy Director, Payment Systems Department, BANK OF ALBANIA, Kompleksi Halili, Rruga e Dibres, 1000 TIRANA, ALBANIA, Tel: 355 4 2419301/2/3 ext 3061, Fax: 355 4 2419408 , Email: vmiho@bankofalbania.org 
Andorra	AD	2030200359100100	0	4!n4!n12!c	20	 Positions 1-4, Branch identifier: positions 5-8 	 4!n, Branch identifier length: 4!n 	 0001, Branch identifier example: 2030 	00012030200359100100	0	AD2!n4!n4!n12!c	24	AD1200012030200359100100	AD12 0001 2030 2003 5910 0100	No	 Associació de Bancs Andorrans (ABA), C/ Ciutat de Consuegra, 16, Edifici l’Illa, esc. A, 2n pis, AD500 Andorra la Vella, Principat d’Andorra, Tel: 376 80 71 10, Fax: 376 86 68 47, Email: aba@aba.ad 
Austria	AT	BLZ 19043 Kto 234573201	0	5!n11!n	16	Positions 1-5	5!n	19043	1904300234573201	0	AT2!n5!n11!n	20	AT611904300234573201	AT61 1904 3002 3457 3201	Yes	 Mr. Hendrik Muus, STUZZA, Stiftgasse 15/8, A-1070 WIEN, Tel: 43 1 505 32 80 / 73, Fax: 43 1 505 32 80 / 77, Email: hendrik.muus@stuzza.at Website http://www.stuzza.at 
Republic of Azerbaijan	AZ	NABZ00000000137010001944	0	4!a20!c	24	Positions 1-4	4!a	NABZ	NABZ00000000137010001944	0	AZ2!n4!a20!c	28	AZ21NABZ00000000137010001944	AZ21 NABZ 0000 0000 1370 1000 1944		 Central Bank of the Republic of Azerbaijan – Head Office, 32, R. Behbudov, AZ 1014, BAKU, Republic of Azerbaijan, Mr. Gurbanli Vahid, Deputy of Director, Payment systems and settlements, Telephone: +994 12 4931122 (ext.480), Fax: +994 12 493 66 15, e-mail: vahid_gurbanli@cbar.az, Mr. Rasulov Orkhan, Chief system administrator, Payment systems and settlements, Telephone: +994 12 4931122 (ext.481), Fax: +994 12 498 75 73, e-mail: orkhan_rasulov@cbar.az  
Bahrain (Kingdom of)	BH	00001299123456	0	4!a14!c	22	Positions 1-4	4!n	BMAG	BMAG00001299123456	0	BH2!n4!a14!c	22	BH67BMAG00001299123456	BH67 BMAG 0000 1299 1234 56	No	 Mr. AL-FADHEL Mohammed A., Head- Payment and Settlement Banking Services Directorate, Telephone: +973 17547758, Fax: +973 17532050, e-mail: malfadhel@ccb.gov.bh  
Belgium	BE	539-0075470-34	0	3!n7!n2!n	12	Positions 1-3	3!n	539	539007547034	0	BE2!n3!n7!n2!n	16	BE68539007547034	BE68 5390 0754 7034	Yes	 Mr. P. WYNANT, Belgian Bankers’ Association - Febelfin, Email: ori@febelfin.be 
Bosnia and Herzegovina	BA	199-044-00012002-79	0	3!n3!n8!n2!n	16	 Positions 1-3, Branch identifier positions: 4-6  	 3!n, Branch identifier length: 3!n 	 199, Branch identifier example: 044 	1990440001200279	0	BA2!n3!n3!n8!n2!n	20	BA391290079401028494	BA39 1290 0794 0102 8494	No	 Mrs. Anja MARGETIC, Payment Systems Division, Centralna banka Bosne I Hercegovine, Marsala Tita 25, 71000 Sarajevo, Bosnia and Herzegovina, Tel: 387 33 286 485, Fax: 387 33 286 455, Email: amargetic@cbbh.ba 
Brazil	BR	0009795493C1	0	8!n5!n10!n1!a1!c	25	Positions 1-8; branch identifier  9-13	8	00360305	00360305000010009795493P1	0	BR2!n8!n5!n10!n1!a1!c	29	BR9700360305000010009795493P1  -  BR1800000000141455123924100C2   	BR97 0036 0305 0000 1000 9795 493P 1 - BR18 0000 0000 1414 5512 3924 100C 2	No	 BANCO CENTRAL DO BRASIL, SBS Quadra 3 Bloco B, 71.070-900 Brasília, iban@bcb.gov.br  
Bulgaria	BG	BG80 BNBG 9661 1020 3456 78	0	4!a4!n2!n8!c	18	 Positions 1-4, Branch identifier positions: 5-8  	 4!a, Branch identifier length: 4!n 	 BNBG, Branch identifier example: 9661  	BNBG96611020345678	0	BG2!n4!a4!n2!n8!c	22	BG80BNBG96611020345678	BG80 BNBG 9661 1020 3456 78	Yes	 Ms Svetla Nickolova, Senior Expert - Payment System Division, Banking Policy Directorate, Bulgarian National Bank, Tel: 359 2 9145 773, Fax: 359 2 980 1012, Email:Nickolova.S@bnbank.org, Website://www.bnb.bg 
Costa Rica	CR	1026284066	0	3!n14!n	7	 Positions 1-3, Branch is not available   	3!n	152	15202001026284066	0	CR2!n3!n14!n	21	CR15202001026284066	CR05 1520 2001 0262 8406 6	No	 Nidia Quintero, Payment System Officer, Sistema de Pagos, Tel: 506 2243-3648, Fax: 506 2243-4565, Email: quinteromn@bccr.fi.cr, Mr. Francisco Carvajal, Director, Sistema de Pagos, Tel: 506 2243-3655, Fax: 506 2243-4565, Email: carvajalcf@bccr.fi.cr, Banco Central de Costa Rica, Avenida Central y 1a. Calles 2y4, 10058-1000 San José, Costa Rica 
Croatia	HR	1001005-1863000160	0	7!n10!n	17	Positions 1-7	7!n	1001005	10010051863000160	0	HR2!n7!n10!n	21	HR1210010051863000160	HR12 1001 0051 8630 0016 0	No	 Mr. Ivan BILUS, Tel: +385 1 45 64 627, Fax: +385 1 45 50 588, Email: ivan.bilus@hnb.hr, Web: hhtp://www.hnb.hr 
Cyprus	CY	1200527600	0	3!n5!n16!c	24	 Positions 1-3, Branch identifier positions: 4-8  	 3!n, Branch identifier length: 5!n 	 002, Branch identifier example: 00128 	002001280000001200527600	0	CY2!n3!n5!n16!c	28	CY17002001280000001200527600	CY17 0020 0128 0000 0012 0052 7600	Yes	 Mrs. Christa Piki, Payment systems and Accounting Services Department, Central Bank of Cyprus, 80 Kennedy Avenue, P.O. Box 25529, CY-1395 Nicosia, Tel: +357-22714405, Fax: +357-22378505, Email:PaymentSystems@centralbank.gov.cy, http://www.centralbank.gov.cy/nqcontent.cfm?a_id=2820 
Czech Republic	CZ	19-2000145399/0800	0	4!n6!n10!n	20	Positions 1-4	4!n	0800	08000000192000145399	0	CZ2!n4!n6!n10!n	24	CZ6508000000192000145399 CZ9455000000001011038930	CZ65 0800 0000 1920 0014 5399 CZ94 5500 0000 0010 1103 8930	Yes	 Mr. Ivan FENCL, Czech National Bank, Na Prikope 28, Praha 1, Tel: +420 224 413 580, Fax: +420 224 413 351, Email: Iban.info@cnb.cz, http://www.cnb.cz/cs/platebni_styk/iban/index.html   for Czech language, http://www.cnb.cz/en/payment_systems/iban/index.html   for English. 
Denmark	 DK & FO (Faroe Islands), GL (Greenland) 	 0040 0440116243, 6460 0001631634, 6471 0001000206 	0	4!n9!n1!n	14	Positions 1-4	4!n	 0040, 6460, 6471 	 00400440116243, 64600001631634, 64710001000206 	0	 DK2!n4!n9!n1!n, FO2!n4!n9!n1!n, GL2!n4!n9!n1!n 	18	 DK5000400440116243, FO6264600001631634, GL8964710001000206 	 DK50 0040 0440 1162 43, FO62 6460 0001 6316 34, GL89 6471 0001 0002 06 	Yes	 Mr. Carsten PEDERSEN, Danish Bankers Association, 7 Amaliegade, DK 1256 COPENHAGEN K, Tel: 45 33 70 10 00, Fax: 45 33 93 02 60, Email: cpe@finansraadet.dk 
Dominican Republic	DO	1212453611324	0	4!c20!n	24	Positions 1-4	4!a	BAGR	AGR00000001212453611324	0	DO2!n4!c20!n	28	DO28BAGR00000001212453611324	DO28 BAGR 0000 0001 2124 5361 1324	No	
Estonia	EE	221020145685	0	2!n2!n11!n1!n	16	Positions 1-2	2!n - first digit of bank code can not be 0	22	2200221020145685	0	EE2!n2!n2!n11!n1!n 	20	EE382200221020145685	EE38 2200 2210 2014 5685	Yes	 Mr. Enn Riisalu, Estonian Banking Association, Ahtri 12, 10151 Tallinn, Tel: +372 611 6569, Fax: +372 611 6568, Email: pangaliit@pangaliit.ee, Web: www.pangaliit.ee/eng/Codes 
Finland	FI	Not in use	0	Not in use	Not in use	Position 1-3 indicate the bank or banking group	Not in use	Not in use	Not in use	0	FI2!n6!n7!n1!n	18	FI2112345600000785 or FI5542345670000081	FI21 1234 5600 0007 85	 Yes, Also includes Aland Islands AX 	 Mrs. Pirjo Ilola, Finnish Bankers’ Association, PO Box 1009, FIN-00101 HELSINKI, Tel: 358 20 793 4255, Fax: 358 20 793 4202, Email: pirjo.ilola@fkl.fi, Web: www.fkl.fi 
France	 FR. Note that  French Republic regional country codes used for companies identification (BIC) do not contradict the generic FR country code at IBAN level. Regional and administrative French Republic subdivision country codes : French Guyana (GF), Guadeloupe (GP), Martinique (MQ), Reunion (RE), French Polynesia (PF)*, French Southern Territories (TF)*, Mayotte (YT), New Caledonia (NC)*, Saint Barthelemy (BL), Saint Martin (French part) (MF), Saint Pierre et Miquelon (PM), and Wallis and Futuna Islands (WF)*. 	20041 01005 0500013M026 06	0	5!n5!n11!c2!n	23	Positions 1-5	5!n	20041	20041010050500013M02606	0	FR2!n5!n5!n11!c2!n	27	FR1420041010050500013M02606	FR14 2004 1010 0505 0001 3M02 606	 Yes, included GP, RE, MQ, GF, PM and YT 	 CFONB, 18 rue la Fayette, 75009 PARIS,  Telephone:+ 33.1.48.00.50.42  Email: cfonb@fbf.fr 
Georgia	GE	0000000101904917	0	2!a16!n	18	Position 1-2	2!a	NB	NB0000000101904917	0	GE2!n2!a16!n	22	GE29NB0000000101904917	GE29 NB00 0000 0101 9049 17	No	 Mr. SHERMAZANASHVILI Giorgi, National Bank of Georgia, Deputy Head of Payment Systems Department, Payment Systems, Sanapiro str. 2, 0114 Tbilisi, Telephone:+995 32 406 202, Fax:+995 32 406 556, e-mail: gshermazanashvili@nbg.gov.ge, Website: http://www.nbg.gov.ge  
Germany	DE	Account number (Kontonummer): 532013000 Bank identifier (Bankleitzahl): 37040044	0	8!n10!n; 	18	Positions 1-8	8!n	37040044	370400440532013000	0	DE2!n8!n10!n 	22	DE89370400440532013000	DE89 3704 0044 0532 0130 00	Yes	 Bundesverband Deutscher Banken, Burgstrasse 28, 10178 BERLIN, Tel: +49 30 1663 2301, Fax: +49 30 1663 2399, Email: iban@bdb.de  
Gibraltar	GI	0000 00007099 453	0	4!a15!c	19	Positions 1-4	4!a	NWBK	NWBK000000007099453	0	GI2!n4!a15!c: 	23	GI75NWBK000000007099453	GI75 NWBK 0000 0000 7099 453	Yes	 Mrs Heidi A Bocarisa , Head of Banking & Investments Supervision, Financial Services Commission, PO Box 940, Suite 943 Europort, Gibraltar, Tel: +350 40283, Fax: +350 40282, Email: Hbocarisa@fsc.gi 
Greece	GR	01250000000012300695	0	3!n4!n16!c	23	 Positions 1-3, Branch identifier positions: 4-7  	 3!n, Branch identifier length: 4!n 	 011, Branch identifier example: 0012 	01101250000000012300695	0	GR2!n3!n4!n16!c 	27	GR1601101250000000012300695	GR16 0110 1250 0000 0001 2300 695	Yes	Not available for publication
Guatemala	GT	01020000001210029690	0	4!c20!c	24	Positions 1-4	4!c	TRAJ	TRAJ01020000001210029690	0	GT2!n4!c20!c 	28	GT82TRAJ01020000001210029690	GT82 TRAJ 0102 0000 0012 1002 9690	No	Not available for publication
Hungary	HU	11773016-11111018-00000000	0	3!n4!n1!n15!n1!n:	24	 positions 1-3, Branch identifier positions: 4-7  	 3!n, Branch identifier length 4!n 	 117, Branch identifier example 7301 	117730161111101800000000	0	HU2!n3!n4!n1!n15!n1!n 	28	HU42117730161111101800000000	HU42 1177 3016 1111 1018 0000 0000	Yes	 Mr. Tamás Földi, Hungarian Banking Association, H-1368 Budapest, P.O.B 242, Tel: +36 1 483 1913, Fax: +36 1 266 1989, Email: foldi@bankszovetseg.hu Or  Mrs. Magdolna Forgács, Hungarian Banking Association, H-1368 Budapest, P.O.B 242, Tel: +36 1 483 1910,  
Iceland	IS	0159-26-007654-551073-0339	0	4!n2!n6!n10!n	22	Positions 1-4	4!n	0159	0159260076545510730339	0	IS2!n4!n2!n6!n10!n 	26	IS140159260076545510730339	IS14 0159 2600 7654 5510 7303 39	Yes	 Mr. H. H. STEINGRIMSSON, Icelandic Banks Data Centre, Kalkofnsvegur 1, 150 - REYKJAVIK, Tel: 354 569 8877, Fax: 354 562 2678, Email helgihst@rb.is 
Ireland	IE	93-11-52 12345678	0	4!a6!n8!n	18	 Positions 1-4, Branch identifier: positions 5-10  	 4!a, Branch identifier length: 6!n 	 AIBK, Branch identifier example: 931152 	AIBK93115212345678	0	IE2!n4!a6!n8!n 	22	IE29AIBK93115212345678	IE29 AIBK 9311 5212 3456 78	Yes	 Mr. M. JAMES, Irish Payment Services Organisation Ltd, 12-13 Cumberland Street, Dun Laoghaire, Co. DUBLIN 2, Tel: 353 1 663 67 40, Fax: 353 1 284 34 09, Email Martin.james@ipso.ie 
Israel	IL	10-800-99999999	0	3!n3!n13!n	19	 Positions 1-3, Branch identifier: positions 4-6 	 3!n, Branch identifier length: 3!n 	 010, Branch identifier example: 800 	0100800000099999999	0	IL2!n3!n3!n13!n 	23	IL620108000000099999999	IL62 0108 0000 0009 9999 999	No	 Mrs. Regina Sabov, Payment and Settlement Systems, Bank of Israel, Kaplan Street, Kyriat Ben Gurion, 91007 - Jerusalem, Tel: 972-2-6552733, Fax: 972-2-6669733, Email: regina.sabov@boi.org.il 
Italy	IT	X 05428 11101 000000123456	0	1!a5!n5!n12!c	23	 Positions 2-6, Branch identifier positions: 7-11   	 5!n, Branch identifier length: 5!n 	 05428, Branch identifier example: 11101 	X0542811101000000123456	0	IT2!n1!a5!n5!n12!c	27	IT60X0542811101000000123456	IT60 X054 2811 1010 0000 0123 456	Yes	 M. Rita Camporeale, Associazione Bancaria Italiana,Head of Payment Systems and Services Department,  Via delle Botteghe Oscure, 46, 00186 ROMA, Tel: +39 06 6767332, Fax: , Email: r.camporeale@abi.it 
Kuwait	KW	CBKU0000000000001234560101	0	4!a22!c	26	Positions 1-4	4!a	CBKU	CBKU0000000000001234560101	0	KW2!n4!a22!	30	KW81CBKU0000000000001234560101	KW81 CBKU 0000 0000 0000 1234 5601 01	No	 Mrs. Hana Razzouqi, Executive Director, Information Technology, and Banking Operation sector, Central Bank of Kuwait, P.O. Box 526 Safat, 13006 Safat, Tel: +965 22451568, Fax: +965 22443357, Email: hrazzouqi@cbk.gov.kw 
Kazakhstan	KZ	KZ86 125K ZT50 0410 0100	0	3!n13!c	16	Positions 1-3 	3!n	125	125KZT5004100100	0	 2!a2!n3!n13!c 1,2 characters – country code (KZ) 3,4 characters – IBAN check digits 5,7 characters – bank identifier  8-20 characters – intrabank account number 			KZ86125KZT5004100100	No	 Mrs. Alina Imangazina, Expert, Payment Systems Department National Bank of the Republic of Kazakhstan 21, Koktem-3, 050040, Almaty, Tel: 7 727 270 47 20, Fax: 7 727 270 48 14, Email: imangazina@nationalbank.kz 
Latvia	LV	LV80 BANK 0000 4351 9500 1	0	4!a13!c	17	Positions 1-4	4!a	BANK	BANK0000435195001	0	LV2!n4!a13!c	21	LV80BANK0000435195001	LV80 BANK 0000 4351 9500 1	Yes	 Ms Anda Zalmane, Payment Systems Department, Bank of Latvia, K. Valdemra 2a, Riga, LV-1050, Tel: +371 67022 510, Fax: +371 67022 179, Email: Anda.Zalmane@bank.lv 
Lebanon	LB	01 001 901229114	0	4!n20!c	24	Positions 1-4	4!a	0999	0999 0000 0001 0019 0122 9114	0	LB2!n4!n20!c	28	LB62099900000001001901229114	LB62 0999 0000 0001 0019 0122 9114	No	 Ms Nahfawi Ghina, Head  of SWIFT Unit, Current Operations Department, BANQUE DU LIBAN, 11-5544 BEIRUT, Tel: +961-1-750000 Ext: 4068, Tel: +961-1-750000 Ext: 4068, Email: gnahfawi@bdl.gov.lb 
Liechtenstein (Principality of)	LI	8810 2324013AA	0	5!n12!c 	19	Positions 1-5 	5!n	08810	088100002324013AA	0	LI2!n5!n12!c	21	LI21088100002324013AA	LI21 0881 0000 2324 013A A	Yes	 Mr. Gert Zimmermann, Rechtskonsulent, Liechtenstein Bankers Association, P.O. Box 254, FL-9490 Vaduz, Tel: 423 230 13 96, Fax: 423 230 13 24, Email: gert.zimmermann@bankenverband.li 
Lithuania	LT	LT12 1000 0111 0100 1000	0	5!n11!n	16	Positions 1-5 	5!n	10000	1000011101001000	0	LT2!n5!n11!n	20	LT121000011101001000	LT12 1000 0111 0100 1000	Yes	 Ms Virginija Bruziene, Payment Systems Department, Bank of Lithuania, Zirmunu St 151, Vilnius, LT 09128, Email: vbruziene@lb.lt, http://www.lb.lt/funkcijos/litas_En.htm 
Luxembourg	LU	LU28 0019 4006 4475 0000	0	3!n13!c	16	Positions 1-3	3!n	001	0019400644750000	0	LU2!n3!n13!c	20	LU280019400644750000	LU28 0019 4006 4475 0000	Yes	 Mr. J-P Borsa, ABBL - Association des Banques et Banquiers Luxembourg, Boîte Postale 13, L-2010 Luxembourg, Tel: 352 46 36 601, Fax: 352 46 09 21, Email: borsa@abbl.lu  
 Macedonia, Former Yugoslav Republic of 	MK	MK07 300 0000000424 25	0	3!n10!c2!n	15	Positions 1-3	3!n	300	250120000058984	0	MK2!n3!n10!c2!n	19	MK07250120000058984	MK07 2501 2000 0058 984	No	 Aco Spasovski, M.Sc.Econ , Secretary, Tel: 389 2 3237 425, Fax: 389 2 3116 210, Email: aco@ic.mchamber.org.mk  
Malta	MT	12345MTLCAST001S	0	4!a5!n18!c	27	 Positions 1-4, Branch identifier positions: 5-9 	 4!a, Branch identifier length: 5!n 	 MALT, Branch identifier example: 01100 	MALT011000012345MTLCAST001S	0	MT2!n4!a5!n18!c	31	MT84MALT011000012345MTLCAST001S	MT84 MALT 0110 0001 2345 MTLC AST0 01S	Yes	 The Secretary General, Malta Bankers’ Association, 48/2 Birkirkara Road, Attard BZN 02, Tel: +356 21 421 210, , Tel: +356 21 421 572, Fax:+356 21 424 580, Email: mcba@waldonet.net.mt  
Mauritania	MR	00020 00101 00001234567 53	0	5!n5!n11!n2!n	23	 Positions 1-5, Branch identifier positions: 6-10 	 5!n, Branch identifier length: 5!n 	 00020, Branch identifier example: 00101 	00020001010000123456753	0	MR135!n5!n11!n2!n	27	MR1300020001010000123456753	MR13 0002 0001 0100 0012 3456 753	No	 Banque Centrale de Mauritanie, Avenue de l’Indépendance,BP 623 NOUAKCHOTT, Mr. Ould Babah Ahmed, Banking Standards Project Manager, IT, Tel : (222)5252206,  Fax: (222)525759, Email: babah@bcm.mr  
Mauritius	MU	MU17 BOMM 0101 1010 3030 0200 000M UR	0	4!a2!n2!n12!n3!n3!a	26	 Positions 1-6,  Branch identifier positions: 7-8 	 6!c, Branch identifier length: 2!n  	 BOMM01, Branch identifier example 01 	BOMM0101101030300200000MUR 	0	MU2!n4!a2!n2!n12!n3!n3!a	30	MU17BOMM0101101030300200000MUR	MU17 BOMM 0101 1010 3030 0200 000M UR	No	 Mr. Yandraduth Googoolye , Director Accounting, Budgeting and Payment System Bank of Mauritius, Sir William Newton Street, Port Louis, Tel: +230 202 38 42 , Fax: +230 211 71 03, Email: ygoogool@bom.intnet.mu  
Republic of Moldova	MD	00225100013104168	0	2!c18!c	20	Positions 1-2	2!c	AG	AG000225100013104168	0	MD2!n20!c	24	MD24AG000225100013104168	MD24 AG00 0225 1000 1310 4168	No	 National Bank of Moldova, 1 Grigore Vieru Avenue, MD-2005, CHISINAU, Republic of Moldova, Mr. Munteanu Igor, Director of Payments System Department, Payments System Department, Tel: +373 22 227361, Fax: +373 22 220591, e-mail: Igor.Munteanu@bnm.md, Ms Turcan-Munteanu Natalia, Head of Regulation and development of payment system Section, Payments System Department, Tel: +373 22 409265, Fax: +373 22 220591, e-mail: Natalia.Turcan-Munteanu@bnm.md 
Monaco	MC	0011111000h	0	5!n5!n11!c2!n	23	 Positions 1-5, Branch identifier positions: 6-10 	 5!n, Branch identifier length: 5!n 	 Bank identifier 11222, Branch identifier: 11222 00001 	11222 00001 01234567890 30	0	MC2!n5!n5!n11!c2!n	27	MC58 11222 00001 0123456789030	MC58 11222 00001 0123456789030	Yes	 Mr. J. DASTAKIAN, Secrétaire Général, 7, rue du Gabian, MC98000, Principauté de MONACO, Tel: 00.377.97.97.84.97, Fax: 00.377.93.30.32.16, Email: jd.amaf@monaco.mc 
Montenegro	ME	505 0000123456789 51	0	3!n13!n2!n	18	Positions 1-3 	3!n	505	505000012345678951	0	ME2!n3!n13!n2!n 	22	ME25505000012345678951	ME25 5050 0001 2345 6789 51	No	 Mr. Mirko Radonjic, Secretary General, Association of Montenegrin Banks  Novaka Miloseva bb, 81000 Podgorica Montenegro, Tel: +381 81 232 028 , Fax: +381 81 232 029, Email: udruzenjebanaka@t-com.me 
The Netherlands	NL	041 71 64 300	0	4!a10!n 	14	Positions 1-4	4!a	ABNA	ABNA0417164300	0	NL2!n4!a10!n	18	NL91ABNA0417164300	NL91 ABNA 0417 1643 00	Yes	 Betaalvereniging Nederland, P.O Box 83073, 1080 AB  Amsterdam, Tel: 31 20 305 19 00, Fax: 31 20 305 19 12, Email: sepa@betaalvereniging.nl  
Norway	NO	8601 11 17947	0	4!n6!n1!n 	11	Positions 1-4	4!n	8601	86011117947	0	NO2!n4!n6!n1!n	15	NO9386011117947	NO93 8601 1117 947	Yes	 Atle Fjereide, DnB NOR Bank, p.o.box 7100, 5020 Bergen, Tel: +47 918 95 624, e-mail: atle.fjereide@dnbnor.no 
Pakistan	PK	00260101036360	0	4!a16!c 	20	 Positions 1-4, Branch is not available 	4!a	SCBL	SCBL0000001123456702	0	PK2!n4!a16!c	24	PK36SCBL0000001123456702	PK36 SCBL 0000 0011 2345 6702	No	 State Bank of Pakistan 4th Floor, Main Building, I.I. Chundrigar Road. 4th Floor, Main Building, I.I. Chundrigar Road. Mr. Khan Zamir Joint Director Payment Systems Department Tel: +92 21 99221152 Fax: +92 21 99212528 Email: zamir.afzal@sbp.org.pk, Mr. Mazhar Faisal Deputy Director Payment Systems Department Tel: +92 21 32453497 Fax: +92 21 99212528 Email: faisal.mazhar@sbp.org.pk 
 Palestine, State of 	PS	400123456702	0	4!a21!c 	25	Positions 1-4	4	PALS	PALS000000000400123456702	0	PS2!n4!a21!c	29	PS92PALS000000000400123456702	PS92 PALS 0000 0000 0400 1234 5670 2		 PALESTINE MONETARY AUTHORITY, AL-RAMOUNI, Nablus Street, 452 AL-BIREH, Mr. Awwad Riyad, Deputy Director, Payment Systems department, Tel: +970224415250, Fax: +97022407780, Email: rawwad@pma.ps 
